Product,SKU,Category,Main Image,Gallery 2,Gallery 3,Image Type,Status
"After Shave Lotion","SGT-BS-005","Barber Supplies","/products/barber-supplies/after-shave-lotion.svg","/products/barber-supplies/after-shave-lotion-2.svg","/products/barber-supplies/after-shave-lotion-3.svg","Illustration","OK"
"Barber Neck Strips","SGT-BS-007","Barber Supplies","/products/barber-supplies/barber-neck-strips.svg","/products/barber-supplies/barber-neck-strips-2.svg","/products/barber-supplies/barber-neck-strips-3.svg","Illustration","OK"
"Barber Spray Bottle","SGT-BS-008","Barber Supplies","/products/barber-supplies/barber-spray-bottle.svg","/products/barber-supplies/barber-spray-bottle-2.svg","/products/barber-supplies/barber-spray-bottle-3.svg","Illustration","OK"
"Beard Oil","SGT-BS-006","Barber Supplies","/products/barber-supplies/beard-oil.svg","/products/barber-supplies/beard-oil-2.svg","/products/barber-supplies/beard-oil-3.svg","Illustration","OK"
"Professional Barber Scissors","SGT-BS-003","Barber Supplies","/products/barber-supplies/professional-barber-scissors.svg","/products/barber-supplies/professional-barber-scissors-2.svg","/products/barber-supplies/professional-barber-scissors-3.svg","Illustration","OK"
"Professional Shaving Cream","SGT-BS-004","Barber Supplies","/products/barber-supplies/professional-shaving-cream.svg","/products/barber-supplies/professional-shaving-cream-2.svg","/products/barber-supplies/professional-shaving-cream-3.svg","Illustration","OK"
"Professional Straight Razor","SGT-BS-001","Barber Supplies","/products/barber-supplies/professional-straight-razor.svg","/products/barber-supplies/professional-straight-razor-2.svg","/products/barber-supplies/professional-straight-razor-3.svg","Illustration","OK"
"Replacement Razor Blades","SGT-BS-002","Barber Supplies","/products/barber-supplies/replacement-razor-blades.svg","/products/barber-supplies/replacement-razor-blades-2.svg","/products/barber-supplies/replacement-razor-blades-3.svg","Illustration","OK"
"Colour Mixing Bowl & Brush Set","SGT-BC-010","Beauty Consumables","/products/beauty-consumables/colour-mixing-bowl-brush-set.svg","/products/beauty-consumables/colour-mixing-bowl-brush-set-2.svg","/products/beauty-consumables/colour-mixing-bowl-brush-set-3.svg","Illustration","OK"
"Cotton Rolls & Pads","SGT-BC-007","Beauty Consumables","/products/beauty-consumables/cotton-rolls-pads.svg","/products/beauty-consumables/cotton-rolls-pads-2.svg","/products/beauty-consumables/cotton-rolls-pads-3.svg","Illustration","OK"
"Disposable Bed Sheets","SGT-BC-009","Beauty Consumables","/products/beauty-consumables/disposable-bed-sheets.svg","/products/beauty-consumables/disposable-bed-sheets-2.svg","/products/beauty-consumables/disposable-bed-sheets-3.svg","Illustration","OK"
"Disposable Hair Caps","SGT-BC-006","Beauty Consumables","/products/beauty-consumables/disposable-hair-caps.svg","/products/beauty-consumables/disposable-hair-caps-2.svg","/products/beauty-consumables/disposable-hair-caps-3.svg","Illustration","OK"
"Disposable Latex Gloves","SGT-BC-002","Beauty Consumables","/products/beauty-consumables/disposable-latex-gloves.svg","/products/beauty-consumables/disposable-latex-gloves-2.svg","/products/beauty-consumables/disposable-latex-gloves-3.svg","Illustration","OK"
