brand,product,sku,category,file_1_front,file_2_angle,file_3_detail
"Andis Professional","Pro Titanium Double Foil Cordless Barber Shaver","SGT-BRB-FOIL-SHAVER-DOUBLE-TITANIUM","Skin Care","SGT-BRB-FOIL-SHAVER-DOUBLE-TITANIUM.jpg","SGT-BRB-FOIL-SHAVER-DOUBLE-TITANIUM-2.jpg","SGT-BRB-FOIL-SHAVER-DOUBLE-TITANIUM-3.jpg"
"Architectural Salon Systems","Master Workstation 3D Salon Furniture & Trolley Suite","SGT-EQ-MASTER-SALON-SUITE","Professional Equipment","SGT-EQ-MASTER-SALON-SUITE.jpg","SGT-EQ-MASTER-SALON-SUITE-2.jpg","SGT-EQ-MASTER-SALON-SUITE-3.jpg"
"Ayurveda Botanica Series","Ayurveda Botanica Herbal Bath Soap Neem & Aloe Vera (100g Bar & Box)","SGT-SKIN-HERBAL-SOAP-NEEM-ALOE-100G","Skin Care","SGT-SKIN-HERBAL-SOAP-NEEM-ALOE-100G.jpg","SGT-SKIN-HERBAL-SOAP-NEEM-ALOE-100G-2.jpg","SGT-SKIN-HERBAL-SOAP-NEEM-ALOE-100G-3.jpg"
"BaBylissPRO","Skeleton T-Blade Zero-Gap Detail Trimmer Bronze","SGT-BRB-PRECISION-OUTLINE-TRIMMER","Skin Care","SGT-BRB-PRECISION-OUTLINE-TRIMMER.jpg","SGT-BRB-PRECISION-OUTLINE-TRIMMER-2.jpg","SGT-BRB-PRECISION-OUTLINE-TRIMMER-3.jpg"
"Barber Pro Series","Professional Barber Folding Straight Razor with Wooden Handle","SGT-BRB-STRAIGHT-RAZOR-SET","Barber Supplies","SGT-BRB-STRAIGHT-RAZOR-SET.jpg","SGT-BRB-STRAIGHT-RAZOR-SET-2.jpg","SGT-BRB-STRAIGHT-RAZOR-SET-3.jpg"
"Barber Pro Series","Professional Barber Hair Clipper Color Guard Set with Acrylic Caddy","SGT-BRB-CLIPPER-GUARD-HOLDER-SET","Barber Supplies","SGT-BRB-CLIPPER-GUARD-HOLDER-SET.jpg","SGT-BRB-CLIPPER-GUARD-HOLDER-SET-2.jpg","SGT-BRB-CLIPPER-GUARD-HOLDER-SET-3.jpg"
"Cheryl's Cosmeceuticals","Activated Charcoal Deep Pore Detox Peel-Off Mask (200g Tube)","SGT-SKIN-CHARCOAL-DETOX-MASK","Skin Care","SGT-SKIN-CHARCOAL-DETOX-MASK.jpg","SGT-SKIN-CHARCOAL-DETOX-MASK-2.jpg","SGT-SKIN-CHARCOAL-DETOX-MASK-3.jpg"
"Generic Professional","Barber Spray Bottle","SGT-BS-008","Barber Supplies","SGT-BS-008.jpg","SGT-BS-008-2.jpg","SGT-BS-008-3.jpg"
"Grandeur Salon Equipment","2-in-1 Facial Ozone Steamer & Magnifying Lamp Combo Station","SGT-EQ-TABLETOP-FACIAL-OZONE-STEAMER-STD","Professional Equipment","SGT-EQ-TABLETOP-FACIAL-OZONE-STEAMER-STD.jpg","SGT-EQ-TABLETOP-FACIAL-OZONE-STEAMER-STD-2.jpg","SGT-EQ-TABLETOP-FACIAL-OZONE-STEAMER-STD-3.jpg"
"Grandeur Salon Equipment","Commercial Stand Facial Ozone Steamer with LED Magnifying Lamp","SGT-EQ-STAND-FACIAL-OZONE-STEAMER-STD","Professional Equipment","SGT-EQ-STAND-FACIAL-OZONE-STEAMER-STD.jpg","SGT-EQ-STAND-FACIAL-OZONE-STEAMER-STD-2.jpg","SGT-EQ-STAND-FACIAL-OZONE-STEAMER-STD-3.jpg"
"Grandeur Salon Equipment","Luxury Black & Gold Hydraulic Salon Styling Chair & Station Set","SGT-EQ-LUX-BLACK-GOLD","Professional Equipment","SGT-EQ-LUX-BLACK-GOLD.jpg","SGT-EQ-LUX-BLACK-GOLD-2.jpg","SGT-EQ-LUX-BLACK-GOLD-3.jpg"
"Grandeur Salon Equipment","Professional Barber Continuous Spray Bottle & Neck Duster Set","SGT-BRB-SPRAY-NECK-DUSTER-SET","Barber Supplies","SGT-BRB-SPRAY-NECK-DUSTER-SET.jpg","SGT-BRB-SPRAY-NECK-DUSTER-SET-2.jpg","SGT-BRB-SPRAY-NECK-DUSTER-SET-3.jpg"
"Grandeur Salon Equipment","Professional Barber Sectioning Combs & Clips Master Kit","SGT-BRB-SECTIONING-TOOL-SET","Barber Supplies","SGT-BRB-SECTIONING-TOOL-SET.jpg","SGT-BRB-SECTIONING-TOOL-SET-2.jpg","SGT-BRB-SECTIONING-TOOL-SET-3.jpg"
"Grandeur Salon Equipment","Professional Standing Hair Steamer & Hood Dryer Machine","SGT-EQ-STANDING-HAIR-STEAMER-SINGLE","Professional Equipment","SGT-EQ-STANDING-HAIR-STEAMER-SINGLE.jpg","SGT-EQ-STANDING-HAIR-STEAMER-SINGLE-2.jpg","SGT-EQ-STANDING-HAIR-STEAMER-SINGLE-3.jpg"
"Grandeur Salon Furniture","Charcoal Grey Reclining Hydraulic Facial & Barber Chair","SGT-FUR-CHARCOAL-GREY","Salon Furniture","SGT-FUR-CHARCOAL-GREY.jpg","SGT-FUR-CHARCOAL-GREY-2.jpg","SGT-FUR-CHARCOAL-GREY-3.jpg"
"Grandeur Salon Furniture","Cream & Gold Luxury Hydraulic Salon Styling Chair","SGT-FUR-CREAM-GOLD-CHAIR","Salon Furniture","SGT-FUR-CREAM-GOLD-CHAIR.jpg","SGT-FUR-CREAM-GOLD-CHAIR-2.jpg","SGT-FUR-CREAM-GOLD-CHAIR-3.jpg"
"Grandeur Salon Furniture","Diamond Tufted Crystal-Studded Black Hydraulic Styling Chair","SGT-FUR-TUFTED-CRYSTAL-BLK","Salon Furniture","SGT-FUR-TUFTED-CRYSTAL-BLK.jpg","SGT-FUR-TUFTED-CRYSTAL-BLK-2.jpg","SGT-FUR-TUFTED-CRYSTAL-BLK-3.jpg"
"Grandeur Salon Furniture","Royal Beige Gold Reclining Hydraulic Parlour Chair","SGT-FUR-ROYAL-BEIGE-GOLD","Salon Furniture","SGT-FUR-ROYAL-BEIGE-GOLD.jpg","SGT-FUR-ROYAL-BEIGE-GOLD-2.jpg","SGT-FUR-ROYAL-BEIGE-GOLD-3.jpg"
"Hair Care Series","Professional Keratin Smooth Hair Treatment Serum (100ml)","SGT-HC-KERATIN-SERUM-100ML","Hair Care","SGT-HC-KERATIN-SERUM-100ML.jpg","SGT-HC-KERATIN-SERUM-100ML-2.jpg","SGT-HC-KERATIN-SERUM-100ML-3.jpg"
"ICONIC London","ICONIC London Precision Foundation & Contour Stick","SGT-MK-ICONIC-STICK","Makeup","SGT-MK-ICONIC-STICK.jpg","SGT-MK-ICONIC-STICK-2.jpg","SGT-MK-ICONIC-STICK-3.jpg"
"ICONIC London","ICONIC London Prep-Set-Glow Shimmer Spray","SGT-MK-ICONIC-PREPSET","Makeup","SGT-MK-ICONIC-PREPSET.jpg","SGT-MK-ICONIC-PREPSET-2.jpg","SGT-MK-ICONIC-PREPSET-3.jpg"
